epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.177,0.70668,3.16777,1.18943,0.39098,0.69763,0.53953,0.42953,0.52559,2.34477,0.89082,0.000332222,0.000332222,0.000332222
2,240.5,0.47742,1.6233,1.07861,0.51667,0.77047,0.76986,0.66532,0.38894,1.58516,0.8976,0.000336106,0.000336106,0.000336106
