epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.465,0.7159,2.28663,1.18698,0.31489,0.82278,0.38586,0.34557,0.53049,21.4455,0.29932,0.000332407,0.000332407,0.000332407
2,282.673,0.46694,1.02812,1.0611,0.60955,0.64557,0.63839,0.63563,0.41056,11.3939,0.63932,0.000336199,0.000336199,0.000336199
